id,field,title,url,key_finding,supports
S01,Accessibility / Captions,W3C WAI: Captions/Subtitles,https://www.w3.org/WAI/media/av/captions/,Captions are synchronized text versions of speech and needed non-speech audio.,"DLC, CCP, NSS, accessibility guardrails"
S02,Caption speed / Standards,Section 508: Captions and Transcripts,https://www.section508.gov/create/captions-transcripts/,Speech above about 180 words per minute may be too fast for captions; keep captions short.,"SCC, CRL, MEG, VLAC"
S03,Sound-off viewing,"Szarkowska et al. 2024, PLOS ONE: sound-off subtitled video",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0306251,"Sound-off subtitled viewing increased cognitive load and reduced comprehension, immersion and enjoyment; viewers processed subtitles more heavily.","MFM, DLC, SCC, BCC+"
S04,Subtitle speed / Eye tracking,Kruger et al.: Why subtitle speed matters,https://www.cambridge.org/core/journals/applied-psycholinguistics/article/why-subtitle-speed-matters-evidence-from-word-skipping-and-rereading/A7DB0CBF5910353143738CF9C1721317,"Higher subtitle speed can reduce comprehension, increase incomplete reading and reduce rereading.","SCC, CRL, MEG, MRR, VLAC"
S05,Partial captions,Mirzaei et al. 2017: Partial and Synchronized Captioning,https://www.cambridge.org/core/journals/recall/article/partial-and-synchronized-captioning-a-new-tool-to-assist-learners-in-developing-second-language-listening-skill/9394E3F0AD25FD5F32895F965F7ECCAD,Partial synchronized captions produced full-caption-level comprehension while presenting less than 30% of transcript in an L2 context.,"SCC, CRL, KMC, GET"
S06,Keyword highlighting / DHH captions,Kafle et al. 2019 ASSETS: Highlighting key words in captions,https://dl.acm.org/doi/10.1145/3308561.3353781,Highlighted keywords were rated easier to read/follow and lower task load by DHH participants.,"SKH, FOA, BCA, KHT"
S07,Multimedia learning / Signaling,Schneider et al. 2018: Signaling meta-analysis,https://www.sciencedirect.com/science/article/abs/pii/S1747938X17300581,"Signaling benefits retention and transfer, affects eye fixations and reduces cognitive load.","OFC, PCFB, TBSM, SCC, BCC+"
S08,Multimedia learning / Signaling,Richter et al. 2016: text-picture signaling meta-analysis,https://www.sciencedirect.com/science/article/abs/pii/S1747938X15000664,Cues that highlight organization of relevant information can improve retention/transfer.,"PCFB, TBSM, REN, CEP"
S09,Meaning-guided attention,Henderson & Hayes 2018: Meaning maps and attention,https://www.nature.com/articles/s41598-018-31894-5,Meaning maps predict attention in real-world scenes beyond low-level salience.,"MMP, SAP, GSP, ASOE"
S10,Visual crowding,Schwetlick & Harrison 2024/2025 review: Visual Crowding,https://www.annualreviews.org/content/journals/10.1146/annurev-vision-110423-024409,Crowding impairs perception when objects/letters are surrounded by clutter.,"CAC, CBU, STB, CCD"
S11,Peripheral/foveal vision,Stewart et al. 2020: peripheral and foveal interactions,https://pmc.ncbi.nlm.nih.gov/articles/PMC7645222/,Peripheral and foveal signals are integrated across saccades; detailed recognition depends on foveal/parafoveal sampling.,"FAP, GSP, VLAW"
S12,Visual working memory,Luck & Vogel 2013: Visual working memory capacity,https://www.sciencedirect.com/science/article/abs/pii/S1364661313001265,Visual working memory is capacity-limited and varies across individuals.,"OIOS, MRR, PCFB, TBSM"
S13,Audiovisual speech,Dias et al. 2016: Visibility of speech articulation,https://pmc.ncbi.nlm.nih.gov/articles/PMC8081648/,Visual speech information can compensate when auditory speech is degraded.,"MSC, ESC, GSP"
S14,Bionic Reading,"Snell 2024: No, Bionic Reading does not work",https://www.sciencedirect.com/science/article/pii/S0001691824001811,No significant reading-time benefit between Bionic and normal text.,BCA as weak/optional; HBF negative control
S15,Bionic Reading / Eye tracking,Možina et al. 2025: Usability of Bionic Reading,https://journals.sagepub.com/doi/10.1177/21582440251376158,No clear speed/comprehension advantage; bionic formatting produced more saccades and longer reading time in some conditions.,HBF negative control; BCA dose testing
S16,Dynamic subtitles,Brown et al. 2015: Dynamic Subtitles user experience,https://research.manchester.ac.uk/en/publications/dynamic-subtitles-the-user-experience/,Dynamic subtitles produced gaze patterns closer to no-subtitle baseline than traditional subtitles in the study.,"SFC, GSP, DRAR"
S17,Video saliency prediction,AIM 2024 / AViMoS video saliency prediction challenge,https://arxiv.org/abs/2409.14827,"AViMoS provides 1,500 videos with observer data, including vertical videos; saliency prediction is technically mature enough to inform placement.","SHP, SAP, ASOE, VLP"
S18,Kinetic typography,Lee 2023: Learning benefits of moving text,https://www.nature.com/articles/s41599-023-01646-6,"Moving text can help when aligned with logic, but excessive/inappropriate kinetic typography can cause fatigue and overload.","LM, PRL, DKC, MBS"
S19,Affective captions,Caption Royale 2024: affective captions for DHH users,https://dl.acm.org/doi/10.1145/3613904.3642258,Affective captions use typographic modulation to convey emotion; explored with DHH participants.,"PAE, TI, affective-semantic variants"
S20,Subtitle segmentation,Gerber-Morón et al. 2018: subtitle line breaks,https://pmc.ncbi.nlm.nih.gov/articles/PMC7733619/,Viewers preferred syntactically segmented line breaks; linguistic segmentation affects processing.,"SLB, OIOS, SLSB"
S21,TikTok subtitle style,Duraj & Szarkowska 2025: non-standard TikTok subtitle styles,https://www.jatjournal.org/index.php/jat/article/view/339,TikTok subtitle style with emojis/non-standard typography affected preference and engagement in reported studies.,"PNT, ENS, platform-native variants"
S22,Short-form cognition,Alruwaili 2025: scroll immersion and short-form video use,https://www.sciencedirect.com/science/article/pii/S0001691825009874,"Short-form use and scroll immersion predicted attention difficulty, working-memory disruption and cognitive fatigue in survey data.","FPR, HOO, MRR, ERF"
S23,Phrase structure / Rapid language,Fallon et al. 2024 Science Advances: Language at a glance,https://www.science.org/doi/10.1126/sciadv.adr9951,The left temporal cortex detects rough syntactic structure starting as early as 125 ms after visual multiword expression onset.,"OFC, CPC, PCFB, KMC"
S24,A/B testing,Nielsen Norman Group 2024: A/B Testing 101,https://www.nngroup.com/articles/ab-testing/,A/B testing compares design variations with live audiences against predetermined success metrics.,"ABG, proof ladder, platform validation"
S25,Practical significance,NN/g 2026: Statistical significance is not practical significance,https://www.nngroup.com/articles/practical-significance/,Results must be reliable and worth acting on; statistical significance alone is insufficient.,"decision rules, MDEs"
S26,Contextual bandits,Kumar et al. 2024: adaptive bandit experiments,https://pmc.ncbi.nlm.nih.gov/articles/PMC11044947/,Bandit algorithms adapt assignment based on collected data and context.,"ASOE, AR, VSA"
S27,Preregistration,Lakens 2024: benefits of preregistration and Registered Reports,https://www.tandfonline.com/doi/full/10.1080/2833373X.2024.2376046,Registered Reports move peer review earlier so feedback happens before data collection.,"proof contract, prereg templates"
S28,Equivalence / non-inferiority,"Kishore et al. 2020: superiority, noninferiority, equivalence",https://pmc.ncbi.nlm.nih.gov/articles/PMC7734976/,Non-inferiority/equivalence designs answer different questions from superiority designs and require margins.,accessibility non-regression and visual recall guardrails
S29,Contrast accessibility,WCAG 2.2 contrast minimum understanding,https://www.w3.org/WAI/WCAG22/Understanding/contrast-minimum.html,Sufficient contrast is needed so text can be read by people with moderately low vision or contrast impairment.,"ACAC, FLCC, CBU"
