ID,Category,Idea / Hypothesis,What to try,Mechanism to test,Expected direction,Failure mode,Minimum viable experiment,Primary metrics,Evidence grade,Priority,Source IDs,Status
H086,Motion / Kinetic,Object-Attached Captions,Caption moves with object or hand only when labeling it.,Maintains spatial binding.,Better tutorial comprehension.,Motion tracking failure distracts.,Attached label vs static caption.,Task recall; gaze path,Moderate adjacent,P2,S14; S19,Backlog
H087,Motion / Kinetic,Gesture-Synced Text,Reveal instruction exactly when hand gesture demonstrates it.,Aligns temporal/spatial cues.,Better procedural learning.,Mistimed sync harms clarity.,Gesture-sync vs off-sync.,Task accuracy; recall,Moderate adjacent,P1,S09; S29,Backlog
H088,Motion / Kinetic,Zoom-Blocked Text,Suppress text during major zoom/camera movement.,Prevents concurrent motion competition.,Lower visual fatigue.,May leave semantic gaps.,Text during zoom vs delayed text.,Effort; visual recall,Speculative / direct test needed,P2,S19; S15,Backlog
H089,Motion / Kinetic,Impact Freeze Caption,Briefly freeze/slow frame for a complex takeaway.,Gives time to encode dense idea.,Higher recall for complex points.,Can reduce pacing/retention.,Normal speed vs freeze caption.,Recall; completion,Speculative / direct test needed,P2,S03; S09,Backlog
H090,Motion / Kinetic,Motion Budget Score,Limit animated overlay events per 10 seconds.,Keeps motion rare and meaningful.,"Lower fatigue, higher clarity.",Too low may feel flat on platforms.,Low/medium/high motion dose.,Effort; completion; recall,Moderate adjacent,P1,S19; S26,Backlog
H091,Visual Load / Clutter,Visual-Load Adaptive Word Count,Use fewer overlay words when the frame is visually busy.,Balances visual-channel load.,Better comprehension in demos and complex scenes.,Can under-explain muted clips.,Fixed vs adaptive density.,Gist; visual recall; effort,Strong adjacent,P0,S10; S15; S17,Backlog
H092,Visual Load / Clutter,Demo Minimal Labels,"During demonstrations, show only verbs or labels: twist, lock, pull.",Preserves action visibility.,Better procedural recall.,Too sparse for novices.,Sentence captions vs labels in demo.,Task recall; completion,Moderate adjacent,P1,S10; S15,Backlog
H093,Visual Load / Clutter,Busy Background Auto-Plate,Add a soft plate behind text only when background is complex.,Improves readability with minimal obstruction.,Fewer missed captions.,Plate may cover important visuals.,Auto plate vs always/never plate.,Readability; aesthetic rating,Strong adjacent,P1,S15; S28,Backlog
H094,Visual Load / Clutter,Background Dimming Window,Temporarily dim non-essential background behind text.,Reduces crowding and contrast problems.,Better text recognition.,May feel intrusive.,Dimming vs none.,Readability; immersion,Moderate adjacent,P2,S15; S28,Backlog
H095,Visual Load / Clutter,Visual Complexity Score,Compute frame-level complexity and use it to regulate overlay density.,Makes density adaptive and testable.,Better across mixed footage.,Complexity metric may not match human load.,Manual vs automated complexity rules.,Prediction accuracy; recall,Speculative / direct test needed,P1,S12; S15,Backlog
H096,Visual Load / Clutter,Caption Conflict Detector,Detect when too many text layers exist simultaneously.,Prevents split attention and crowding.,Higher clarity.,May suppress useful labels.,Conflict detector on/off.,Text count; effort; recall,Strong practical / direct test needed,P0,S10; S15,Backlog
H097,Visual Load / Clutter,High-Motion Suppression,Reduce caption animation and density during high visual motion.,Prevents competing motion streams.,Better visual recall.,Could miss key speech during action.,Motion-adaptive vs fixed overlay.,Visual recall; comprehension,Moderate adjacent,P1,S19; S15,Backlog
H098,Visual Load / Clutter,Simultaneous Text Budget,Limit screen to one primary text block plus one micro-label.,Keeps working memory manageable.,Lower effort.,May constrain complex explanations.,Budgeted vs unbudgeted overlays.,Effort; recall,Strong adjacent,P0,S10; S17,Backlog
H099,Visual Load / Clutter,Native Caption Conflict Checker,Avoid overlay collisions with platform auto-captions or imported captions.,Separates full caption layer and semantic layer.,Improves access and readability.,Platforms may render differently.,With/without conflict checking.,Occlusion; user complaints,Strong practical / direct test needed,P0,S01; S02; S15,Backlog
H100,Visual Load / Clutter,Background Pattern Detector,"Flag stripes, grids, leaves, and high-frequency textures behind text.",Crowding and contrast risk is high on patterned backgrounds.,Better readability after repositioning.,Detector may overflag.,Pattern-aware vs fixed placement.,Readability; failure rate,Moderate adjacent,P2,S15; S28,Backlog
H101,Visual Load / Clutter,Frame-Level Contrast Correction,Auto adjust text/backplate contrast per frame.,Keeps readability stable across video.,Fewer unreadable moments.,Style may shift too much.,Static style vs auto-correct.,WCAG ratio; readability,Strong adjacent,P0,S28,Backlog
H102,Visual Load / Clutter,Text Dwell Budget,Limit total seconds of on-screen text per 10 seconds of video.,Prevents turning video into reading task.,Better visual recall and lower fatigue.,Muted viewers may need more text.,Low/medium/high dwell budgets.,Visual recall; effort; muted comprehension,Speculative / direct test needed,P1,S05; S10; S26,Backlog
H103,Visual Load / Clutter,Density by Viewer Goal,"Use heavier overlays for learning clips, lighter for entertainment clips.",Matches intrinsic task demands.,Better category-specific performance.,Incorrect classification hurts.,Category-specific vs universal density.,Recall; retention by category,Speculative / direct test needed,P2,S10; S25,Backlog
H104,Visual Load / Clutter,Caption Safe Empty Frames,Intentionally reserve clean frames for text instead of adding text anywhere.,Production-level planning reduces clutter.,Better quality and readability.,Requires script/edit planning.,Planned empty frames vs reactive overlays.,Readability; production time,Speculative / direct test needed,P2,S15; S28,Backlog
H105,Visual Load / Clutter,Readability Failure Log,Annotate every point where a tester missed or struggled with text.,Creates iterative quality loop.,Fewer recurring failures.,Manual work needed.,No log vs failure-log revision.,Revision improvement rate,Strong practical / direct test needed,P1,S28; S30,Backlog
H106,Sound / Multimodal,Audio-On Cue Mode,"When audio is expected, overlay only cues and structure, not full language.",Avoids redundancy overload.,Better visual recall with similar gist.,Fails if viewer is muted.,Audio-on cue vs full overlay.,Visual recall; gist,Strong adjacent,P1,S05; S10,Backlog
H107,Sound / Multimodal,Muted-First Mode,Overlay carries enough meaning without sound.,Supports sound-off viewing.,Better muted comprehension.,May be too much text for audio-on viewers.,Muted-first vs cue-mode.,Muted gist; effort,Strong adjacent,P0,S05; S01,Backlog
H108,Sound / Multimodal,Dual-Layer Captioning,Full closed captions plus separate semantic overlay.,Preserves accessibility while enabling retention design.,Best overall access + gist.,Can create clutter if poorly placed.,Closed captions only vs dual-layer.,Access rating; gist; clutter,Strong adjacent,P0,S01; S02; S05,Backlog
H109,Sound / Multimodal,Non-Speech Sound Cues,"Show [laughter], [music rises], [door slam] only when meaningful.",Captions include meaningful audio context.,Better DHH access and story context.,Too many cues distract.,With/without sound cues.,Comprehension; access rating,Strong requirement,P0,S01; S03,Backlog
H110,Sound / Multimodal,Prosody-Aware Emphasis,Map speaker emphasis/intensity to controlled text weight or motion.,Captures tone without excessive animation.,Better emotion/tone recognition.,Over-styling reduces clarity.,Prosody-aware vs uniform captions.,Tone recognition; effort,Moderate adjacent,P2,S20; S34,Backlog
H111,Sound / Multimodal,Silence as Emphasis,"Use no overlay during silence or facial reaction, then land a short caption.",Protects emotional beats.,Better engagement and affect recognition.,Muted viewers may need context.,Continuous caption vs silence+payoff.,Engagement; tone recall,Speculative / direct test needed,P2,S20; S32,Backlog
H112,Sound / Multimodal,Audio Clarity Trigger,"If background music/noise is high, increase caption completeness.",Compensates when speech is hard to hear.,Better comprehension in noisy clips.,May overload visuals unnecessarily.,Clean vs noisy audio variants.,Comprehension; effort,Moderate adjacent,P1,S05; S18,Backlog
H113,Sound / Multimodal,Rhythm-Respecting Captions,Avoid text changes on every music beat unless text is music/lyric content.,Prevents text from becoming percussion.,Lower fatigue in non-music clips.,May reduce platform-native energy.,Beat-synced vs semantic-synced.,Effort; recall,Speculative / direct test needed,P2,S19,Backlog
H114,Sound / Multimodal,Tone Icons,"Use small icons for sarcasm, warning, encouragement only when tone is ambiguous.",Adds affective context without long text.,Better tone interpretation.,Icons can trivialize serious content.,Tone icon vs none.,Tone accuracy; preference,Speculative / direct test needed,P3,S20; S34,Backlog
H115,Sound / Multimodal,Haptic Caption Variant,"For AR/wearables, use vibration patterns for emotion or emphasis.",Multimodal cueing for accessibility.,Better affective access in DHH contexts.,Not relevant to normal TikTok yet.,Lab prototype with haptic cues.,Tone recognition; workload,Speculative / cutting-edge,P3,S34; S33,Backlog
H116,Memory / Learning,Retrieval Prompt Caption,Ask a 1-question recall prompt at the end: What reduces friction?,Retrieval strengthens memory and reveals comprehension.,Higher delayed recall.,Prompts may reduce entertainment value.,Prompt vs no prompt.,Delayed recall; saves,Strong adjacent,P1,S09; S17,Backlog
H117,Memory / Learning,Prediction Prompt,"Before solution, ask viewer to predict cause/fix.",Engages active processing.,Better retention if answer arrives fast.,May annoy viewers seeking quick answer.,Prediction vs direct answer.,Recall; completion,Moderate adjacent,P2,S09; S29,Backlog
H118,Memory / Learning,Quick Check End Card,End with micro quiz: Motivation or structure?,Forces contrast recall.,Higher memory and comments.,May feel classroom-like.,Quiz vs memory phrase.,Delayed recall; comments,Moderate adjacent,P2,S09,Backlog
H119,Memory / Learning,Spaced Recap Across Series,Repeat same memory phrase across multiple videos with variation.,Spaced exposure strengthens schema.,Better long-term recognition.,May feel repetitive.,Series with/without recurring phrase.,Delayed recognition; follower retention,Strong adjacent,P2,S09,Backlog
H120,Memory / Learning,Three-Beat Schema Map,Always use a small visual map: Problem → Cause → Fix.,Builds reusable cognitive scaffold.,Better sequence recall.,Can become predictable.,Map vs no map.,Sequence recall; save rate,Strong adjacent,P1,S09; S17,Backlog
H121,Memory / Learning,Worked-Example Fade,"Start with full labels, then fade to minimal cues as viewer learns.",Supports novice-to-expert transition.,Better learning across repeated clips.,Requires sequence of content.,Full labels vs fading labels over series.,Transfer; fatigue,Moderate adjacent,P3,S09; S10,Backlog
H122,Memory / Learning,Analogy Overlay,Add one compressed analogy for abstract ideas.,Concrete mapping helps memory.,Better delayed recall for abstract concepts.,Bad analogies mislead.,Analogy vs definition.,Delayed recall; transfer,Moderate adjacent,P2,S09,Backlog
H123,Memory / Learning,Mini Concept Map,Show 2–4 nodes connected during complex explanations.,Externalizes relations.,Better comprehension of multi-part ideas.,May crowd small screen.,Concept map vs captions.,Relation recall; effort,Moderate adjacent,P2,S09; S15,Backlog
H124,Memory / Learning,Before/After State Card,Show old state → new state visually/textually.,Encodes transformation.,Better motivation and recall.,Oversimplifies gradual changes.,Before/after vs regular caption.,Recall; perceived usefulness,Speculative / direct test needed,P2,S09; S10; S17; S27; S30,Backlog
H125,Memory / Learning,Active Recall Pause,Pause briefly after an instruction before giving answer/example.,Creates retrieval opportunity.,Improved memory.,May lower retention if too slow.,Pause vs no pause.,Delayed recall; completion,Moderate adjacent,P2,S09; S29,Backlog
H126,Memory / Learning,Save Cue as Learning Signal,"Use a save-worthy rule card, not a begging call-to-action.",Memory object + utility.,Higher saves without cheap engagement.,Can feel manipulative if overused.,Rule card vs generic CTA.,Saves; recall,Speculative / direct test needed,P2,S25,Backlog
H127,Memory / Learning,Mnemonic Compression,Turn takeaways into memorable parallel structures or rhymes.,Phonological/structural memory support.,Better delayed recall.,Can sound gimmicky.,Mnemonic vs plain takeaway.,Delayed recall; shares,Speculative / direct test needed,P3,S09; S27,Backlog
H128,Memory / Learning,Action Checklist Overlay,Convert advice into 2–3 checklist items at end.,Supports implementation.,Higher action recall.,Too much text at end.,Checklist vs memory phrase.,Action recall; saves,Moderate adjacent,P1,S09; S17,Backlog
H129,Memory / Learning,Error Diagnosis Matrix,Show two-axis quick diagnosis: effort high / clarity low.,Helps viewer categorize problem.,Better transfer to self-context.,Too complex for small screen.,Matrix vs plain explanation.,Transfer; effort,Speculative / direct test needed,P3,S17; S15,Backlog
H130,Memory / Learning,Example-Nonexample Flip,Quickly contrast a wrong and right execution.,Boundary learning.,Better transfer.,Requires visuals to match text.,Example-only vs example/nonexample.,Transfer; task accuracy,Moderate adjacent,P2,S09; S10,Backlog
H131,Personalization / Access,Closed-Caption Preservation Rule,Always keep full captions available when using creative overlays.,Separates accessibility from retention styling.,Avoids excluding DHH/muted viewers.,Platform support may vary.,User tests with overlay only vs dual layer.,Access rating; comprehension,Strong requirement,P0,S01; S02,Backlog
H132,Personalization / Access,L2 Simplified Mode,Use simpler vocabulary and more context for second-language viewers.,Reduces language processing burden.,Better L2 comprehension.,May feel too simple for natives.,Native vs L2-tailored captions.,L2 gist; effort,Moderate adjacent,P2,S07; S10,Backlog
H133,Personalization / Access,Expert Shorthand Mode,Use domain shorthand for expert audiences.,Reduces unnecessary explanation.,Higher retention for expert clips.,Novices get lost.,Expert vs novice overlay versions.,Comprehension by expertise,Moderate adjacent,P2,S10; S17,Backlog
H134,Personalization / Access,Novice Label Mode,Add labels for unfamiliar concepts before compressing heavily.,Builds pretraining/context.,Better beginner comprehension.,More text load.,Labels vs no labels for beginners.,Beginner gist; effort,Strong adjacent,P1,S09; S10,Backlog
H135,Personalization / Access,Dyslexia-Friendly Variant Test,"Compare bionic, LARF-like annotation, spacing, and plain compression for dyslexic viewers.",Different readability interventions may help specific groups.,Identify subgroup-specific winners.,Risk of overclaiming without subgroup testing.,Dyslexic participants by overlay type.,Reading ease; comprehension,Speculative / direct test needed,P3,S22; S23,Backlog
H136,Personalization / Access,Low-Motion Mode,Provide a static/low-animation overlay for viewers sensitive to motion.,Reduces distraction/fatigue.,Better perceived comfort.,May reduce platform energy.,Static vs kinetic variants.,Comfort; retention,Moderate adjacent,P1,S19; S26,Backlog
H137,Personalization / Access,Older Viewer Duration Mode,Increase caption duration and font size for older viewers.,Accounts for slower visual processing/reading needs.,Better readability.,May slow pacing.,Standard vs longer/larger captions.,Readability; effort,Speculative / direct test needed,P2,S03; S28,Backlog
H138,Personalization / Access,Color-Blind Safe Coding,Never rely on color alone; pair with labels/icons/shape.,Accessibility and robustness.,Fewer interpretation errors.,More visual elements may clutter.,Color-only vs color+label.,Role identification; access rating,Strong requirement,P0,S28,Backlog
H139,Personalization / Access,Reader-Speed Adaptive Mode,Allow overlays to persist longer or simplify if viewer often pauses/rewatches.,Personalizes load.,Better comprehension for slower readers.,Platform data may be inaccessible.,Manual slow/fast versions.,Comprehension by reading speed,Speculative / future,P3,S06; S16,Backlog
H140,Personalization / Access,Viewer-State Adaptive Mode,"Switch overlay mode based on audio-on/off, device, language, and content category.",Matches processing situation.,Higher performance across contexts.,Requires platform signals/AI.,Static vs adaptive modes.,Gist; effort; retention,Speculative / future,P3,S05; S30,Backlog
H141,AI / Adaptive,Semantic Beat Extractor,"LLM extracts proposition, role, and beat boundaries from transcript.",Automates compression pipeline.,Faster production and consistent structure.,LLM may hallucinate or distort meaning.,Human vs AI beat extraction.,Edit distance; accuracy; time saved,Speculative / direct test needed,P1,S09; S30,Backlog
H142,AI / Adaptive,Overlay Variant Generator,"Auto-generates transcript, keyword, compression, BCC, BCC+, and controls.",Speeds A/B testing.,More experiments per clip.,Quality depends on prompts/rules.,Manual vs generated variants.,Production time; quality score,Strong practical / direct test needed,P1,S11; S12; S14; S30; S31,Backlog
H143,AI / Adaptive,Saliency Heatmap Placement,Predict likely gaze heatmaps and avoid high-conflict zones.,Automates gaze-safe placement.,Better visual recall and fewer occlusions.,Saliency may not equal semantic importance.,Fixed vs saliency-aware placement.,Visual recall; occlusion rate,Moderate adjacent,P1,S12; S14,Backlog
H144,AI / Adaptive,Face/Mouth/Hand/Object Detector,Detect visual regions that should not be covered.,Automates safe zones.,Fewer obstruction failures.,Detection errors in motion/low light.,Manual vs CV safe-zone detection.,Occlusion errors; readability,Strong practical / direct test needed,P0,S14; S18; S32,Backlog
H145,AI / Adaptive,Visual Load Predictor,Estimate per-frame visual complexity to choose word count.,Controls visual-channel load.,Better comprehension in busy scenes.,Metric may not match human load.,Human-coded vs model-coded load.,Prediction validity; recall,Speculative / direct test needed,P1,S12; S15,Backlog
H146,AI / Adaptive,Gaze Simulation Without Eye Tracker,Use saliency/meaning maps to simulate likely gaze conflict.,Low-cost proxy for early testing.,Catches major layout failures.,Cannot replace real gaze data.,Model score vs user gaze subset.,Correlation with gaze/errors,Speculative / direct test needed,P2,S11; S12,Backlog
H147,AI / Adaptive,Automatic A/B Generator,Generate and track variants across platforms.,Creates evidence loop at scale.,Faster learning and optimization.,Platform algorithms confound results.,Randomized content batches.,Variant lift; confidence intervals,Strong practical / direct test needed,P1,S25,Backlog
H148,AI / Adaptive,BCC+ Rubric Auto-Scorer,"Score compression, anchors, placement, load, contrast, muted clarity.",Standardizes human review.,Better pre-publication quality.,Scores may reward rules over outcomes.,Rubric vs no rubric production.,Failure rate; pilot performance,Moderate adjacent,P1,S02; S09; S28,Backlog
H149,AI / Adaptive,Platform Safe-Zone Templates,Reusable templates for TikTok/Reels/Shorts/Stories UI zones.,Prevents UI occlusion.,Higher readability across platforms.,UI changes often.,Template vs manual export.,Occlusion rate by platform,Strong practical / direct test needed,P0,S02; S28,Backlog
H150,AI / Adaptive,Compression Ratio Optimizer,Suggest percent transcript to display based on speech rate/visual load.,Data-driven text density.,Closer to optimal workload.,Needs pilot data.,Heuristic vs learned optimizer.,Gist/effort efficiency,Speculative / future,P2,S06; S07; S10,Backlog
H151,AI / Adaptive,Remote Webcam Eye-Tracking Pilot,Use webcam gaze estimation for rough large-sample placement tests.,Scales beyond lab eye-tracking.,Cheap gaze proxy.,Lower accuracy than lab hardware.,Webcam vs self-report vs subset eye tracker.,Gaze estimates; recall,Speculative / direct test needed,P3,S30,Backlog
H152,AI / Adaptive,Meaning-Per-Fixation Estimator,Combine recall results and gaze/text dwell to estimate efficiency.,"Optimizes for cognitive value, not watch time alone.",Better metric alignment.,Requires eye/gaze data.,Estimate vs actual recall.,Predictive validity,Speculative / future,P3,S30; S11,Backlog
H153,AI / Adaptive,Adaptive Renderer,Renders overlays based on detected shot type and visual load.,Turns research into production system.,Consistent scalable output.,May create unnatural movement/style.,Manual vs adaptive renderer.,Quality; retention; revision count,Speculative / future,P2,S12; S14,Backlog
H154,AI / Adaptive,Human-in-the-Loop Editor,"AI proposes; editor approves proposition, anchor, placement, timing.",Balances speed with correctness.,Fewer hallucinations than full automation.,Still requires training/editor time.,AI-only vs human-in-loop.,Accuracy; time saved,Strong practical / direct test needed,P0,S30,Backlog
H155,AI / Adaptive,Source/Risk Note Generator,"For research/health/finance clips, overlay flags if claim is advice, evidence, or speculation.",Reduces misinformation risk.,Higher trust and fewer overclaims.,May reduce punchiness.,No risk note vs risk-tagged version.,Trust; comments; comprehension,Speculative / direct test needed,P2,S11; S12; S14; S30; S31,Backlog
H156,Platform / Retention,Hook Card,Use first 0.5–1.5 sec as a semantic promise.,Reduces early uncertainty and stops scroll.,Higher 1s/3s hold.,Clickbait if promise not delivered.,Hook card vs no hook card.,1s/3s hold; comments sentiment,Moderate adjacent,P0,S25; S21,Backlog
H157,Platform / Retention,Fast Payoff Rule,Deliver the first useful idea within 2–3 seconds.,Feeds reward prediction without deception.,Higher retention and trust.,Can compress too aggressively.,Delayed payoff vs fast payoff.,3s hold; completion; trust,Moderate adjacent,P0,S25,Backlog
H158,Platform / Retention,Open-Loop With Early Resolution,"Open a gap, resolve quickly, then deepen.",Balances curiosity and cognitive comfort.,Better completion than delayed tease.,Too much tease lowers trust.,Delayed open-loop vs early-resolution.,Completion; trust,Speculative / direct test needed,P1,S25,Backlog
H159,Platform / Retention,Progress Marker Microbar,Show Problem → Cause → Fix progress.,Reduces uncertainty about where video is going.,Higher completion for explainers.,UI clutter if overused.,With/without progress marker.,Completion; effort,Moderate adjacent,P2,S09; S25,Backlog
H160,Platform / Retention,Chapter Chips,"Tiny labels for 30–90s clips: Setup, Mistake, Fix, Rule.",Orient viewer over longer short-form.,Better retention in longer clips.,Too much structure for comedy.,Chapter chips vs none.,Completion; sequence recall,Moderate adjacent,P2,S09; S25,Backlog
H161,Platform / Retention,Payoff Card,Use final screen as a self-contained takeaway or checklist.,Creates save/share object.,Higher saves and delayed recall.,May reduce natural loop.,Payoff card vs normal ending.,Saves; recall,Moderate adjacent,P1,S09; S25,Backlog
H162,Platform / Retention,Comment-Eliciting Recall Prompt,Ask a non-trivial answer prompt tied to video concept.,Turns engagement into retrieval.,Higher comments and recall.,Can look engagement-bait.,Recall prompt vs CTA.,Comment quality; recall,Speculative / direct test needed,P2,S09; S25,Backlog
H163,Platform / Retention,Platform-Native Typography Variant,Test clean professional vs TikTok-native emoji/non-standard style.,Matches audience expectations.,Higher engagement for some categories.,Can reduce professionalism/accessibility.,Clean vs native style.,Engagement; trust; comprehension,Emerging direct evidence,P2,S21; S28,Backlog
H164,Platform / Retention,Scroll-Rescue Midpoint Reset,"At 40–60%, add a new semantic hook or map update.",Prevents attention decay.,Higher completion.,Feels artificial if not content-driven.,Midpoint reset vs none.,Completion curve; rewatch,Speculative / direct test needed,P2,S25,Backlog
H165,Platform / Retention,Loop-Compatible Ending,End with text that connects to first frame without hiding final meaning.,Encourages rewatch while preserving clarity.,Higher rewatch.,May annoy if obvious.,Loop ending vs hard stop.,Rewatch; recall,Speculative / direct test needed,P2,S25,Backlog
H166,Platform / Retention,Ethical Retention Filter,Reject overlays that increase watch time by confusion instead of clarity.,Optimizes for useful attention.,Better trust and long-term audience quality.,Hard to quantify.,Qualitative review + retention metrics.,Clarification comments; trust,Speculative / governance,P0,S25; S30,Backlog
H167,Negative Control,Full Transcript Overlay,Use complete burned-in transcript as baseline.,Baseline for exact wording and accessibility-adjacent display.,"Best exact recall, worse visual efficiency.",May overload visual channel.,Compare against compression/BCC.,Exact recall; effort,Control,P0,S01; S06; S10,Backlog
H168,Negative Control,Keyword Highlight Transcript,Highlight important words inside full transcript.,Commercial-style baseline.,Moderate improvement over full transcript.,Still contains too many words.,Compare to semantic compression.,Gist; effort,Control,P0,S08; S09,Backlog
H169,Negative Control,Word-by-Word Dynamic Caption,Active word highlight following speech.,Common creator-tool baseline.,May perform well for rhythm; worse for learning.,Forces tracking every word.,Compare to semantic beats.,Gist; fatigue,Control,P0,S19; S24,Backlog
H170,Negative Control,Heavy Bionic Formatting,Apply bionic partial bolding to most words.,Tests whether heavy bionic hurts.,Likely underperforms sparse anchors.,Can look novel but noisy.,Compare to BCC and compression.,Recall; saccades; effort,Negative control,P0,S22; S23,Backlog
H171,Negative Control,RSVP One-Word Captions,One word at a time in same spot.,Tests speed-reading style in video context.,Likely weak for comprehension.,Suppresses parafoveal context/rereading.,Compare to semantic beats.,Comprehension; fatigue,Negative control,P1,S24,Backlog
H172,Negative Control,Constant Kinetic Text,Every word moves or pops.,Tests motion overload.,"Likely higher attention, lower comprehension.",Motion becomes noise.,Compare to logic motion.,Recall; fatigue; retention,Negative control,P1,S19,Backlog
H173,Negative Control,No Overlay / Native Captions Only,Baseline platform state.,Determines value of any overlay.,May win for visual recall.,May lose muted gist.,Compare to all variants.,Gist; visual recall; retention,Control,P0,S01; S05,Backlog
H174,Negative Control,Color-Only Meaning,Use color without labels/icons for semantic roles.,Accessibility negative control.,Likely failure for color-blind/low contrast contexts.,Meaning can be missed.,Compare to color+label.,Role ID; access rating,Negative control,P1,S28,Backlog
H175,Negative Control,Bottom-Only Placement,Always lower-third regardless of content.,Placement baseline.,Can block UI/captions/action.,Likely loses to gaze-safe placement.,Compare to gaze-safe.,Occlusion; readability,Control,P0,S02; S14,Backlog
H176,Negative Control,Random Saliency Pop,Make random words visually pop.,Tests whether salience without meaning helps.,Likely harms trust/comprehension.,Misguides attention.,Compare to semantic cueing.,Gist; trust,Negative control,P1,S09; S11,Backlog
H177,Negative Control,High-Density Caption Stack,Multiple overlays/captions/stickers simultaneously.,Stress test for visual crowding.,Likely high failure rate.,Overload/crowding.,Compare to budgeted text.,Readability; effort,Negative control,P1,S15; S17,Backlog
H178,Negative Control,Emoji/Nonstandard Subtitle Variant,Use platform-native non-standard typography and emoji.,Tests TikTok-native engagement signal.,Could increase engagement for informal categories.,May harm accessibility/professionalism.,Compare with clean captioning by category.,Engagement; trust; comprehension,Emerging direct evidence,P2,S21; S28,Backlog
