Backlog ID,Method Code,Short Code,Canonical Name,Reference Label,Category Code,Category,Family Name,Class,Phase,Priority,Evidence Grade,Definition / What to try,Mechanism,Expected Direction,Failure Mode,Minimum Viable Experiment,Primary Metrics,Source IDs,Status
H058,GAZ-003,ASC,Action-Safe Captioning,GAZ-003 / ASC — Action-Safe Captioning,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot first,P0,Strong adjacent,"Avoid hands, products, joints, cursor, and key action path.",Prevents text from stealing task-critical visual information.,Better visual recall and task learning.,May require dynamic object tracking.,Action-covered vs action-safe.,Visual recall; task accuracy,S10; S14; S15,Backlog
H059,GAZ-004,ONL,Object-Near Labels,GAZ-004 / ONL — Object-Near Labels,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Place short labels next to the relevant object instead of bottom captions.,Reduces split attention and search.,Better tutorial comprehension.,Labels may crowd the object.,Bottom caption vs object-near labels.,Task recall; gaze travel,S13; S14,Backlog
H060,GAZ-005,USZT,UI-Safe Zone Templates,GAZ-005 / USZT — UI-Safe Zone Templates,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot first,P0,Strong practical / direct test needed,Define TikTok/Reels/Shorts danger zones and avoid them.,Prevents platform interface collision.,Higher readability in feed context.,Safe zones vary by device/platform.,Bottom-fixed vs UI-safe placement.,Readability; occlusion rate,S02; S15; S28,Backlog
H061,GAZ-006,SAP,Saliency-Avoiding Placement,GAZ-006 / SAP — Saliency-Avoiding Placement,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Place text away from predicted high-saliency regions unless it is a label.,Reduces competition with visual content.,Better visual recall.,Low-saliency areas may be poor contrast.,Fixed vs saliency-aware placement.,Visual recall; gaze distribution,S12; S14,Backlog
H062,GAZ-007,MMP,Meaning-Map Placement,GAZ-007 / MMP — Meaning-Map Placement,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Place text where it supports the semantic region of the scene.,Combines semantic value with gaze tendencies.,Better comprehension than visually loud placement.,Meaning maps hard to automate.,Meaning-aware vs low-level saliency placement.,Gist recall; gaze alignment,S11; S12,Backlog
H063,GAZ-008,CAC,Crowding-Aware Captioning,GAZ-008 / CAC — Crowding-Aware Captioning,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot first,P0,Strong adjacent,"Avoid placing text near other text, UI, or high-frequency background.",Reduces peripheral clutter interference.,Better readability.,May force bland layouts.,Crowded vs uncrowded placement.,Readability; effort,S15; S28,Backlog
H064,GAZ-009,NSC,Negative-Space Captions,GAZ-009 / NSC — Negative-Space Captions,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Use empty background regions for semantic overlays.,Increases contrast and reduces interference.,Higher readability and aesthetic rating.,Not every shot has negative space.,Negative space vs default bottom.,Readability; visual recall,S15; S28,Backlog
H065,GAZ-010,SZTH,Shoulder-Zone Talking Head Overlay,GAZ-010 / SZTH — Shoulder-Zone Talking Head Overlay,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Speculative / direct test needed,"Place captions near upper chest/shoulder, away from mouth/eyes/UI.",Balances face access and text proximity.,Better than bottom captions for talking heads.,May cover gestures or clothing patterns.,Shoulder-zone vs lower-third.,Comprehension; mouth visibility,S18; S32,Backlog
H066,GAZ-011,SRTL,Screen-Recording Target Labels,GAZ-011 / SRTL — Screen-Recording Target Labels,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Place labels near the cursor/control being discussed.,Reduces split attention in UI tutorials.,Better procedural recall.,Can obscure UI targets.,Bottom captions vs target labels.,Task accuracy; gaze path,S10; S14,Backlog
H067,GAZ-012,PHC,Product Halo Captions,GAZ-012 / PHC — Product Halo Captions,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Explore later,P2,Speculative / direct test needed,Place short labels in a ring around product without covering it.,Keeps product visible while explaining attributes.,Better product recall.,Could look cluttered.,Halo labels vs caption block.,Attribute recall; visual recall,S14; S15,Backlog
H068,GAZ-013,FAP,Foveal Anchor + Peripheral Cue,GAZ-013 / FAP — Foveal Anchor + Peripheral Cue,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Explore later,P2,Moderate adjacent,Put readable text centrally; use peripheral arrows/icons for orientation.,Matches foveal/peripheral strengths.,Better orientation without peripheral reading burden.,Could increase visual complexity.,Text-only vs text+peripheral cue.,Gist recall; gaze travel,S31; S15,Backlog
H069,GAZ-014,DRAR,Dynamic Reflow Around ROI,GAZ-014 / DRAR — Dynamic Reflow Around ROI,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Moderate adjacent,Move captions frame-by-frame around faces/hands/products.,Avoids visual obstruction dynamically.,Better across complex shots.,Movement itself may distract.,Static safe zone vs dynamic reflow.,Visual recall; distraction,S12; S13; S14,Backlog
H070,GAZ-015,STAP,Shot-Type-Aware Placement,GAZ-015 / STAP — Shot-Type-Aware Placement,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Speculative / direct test needed,"Use different placement rules for talking head, demo, screen recording, story.",Matches visual task demands.,Higher across-category performance.,Requires accurate shot classification.,Generic vs shot-aware placement.,Comprehension by category,S12; S14,Backlog
H071,GAZ-016,SFC,Speaker-Following Captions,GAZ-016 / SFC — Speaker-Following Captions,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Explore later,P2,Moderate adjacent,Move text near active speaker in multi-speaker clips.,Reduces speaker identification cost.,Better dialogue attribution.,Motion may annoy frequent subtitle users.,Bottom captions vs speaker-following.,Speaker recall; user preference,S13; S14,Backlog
H072,GAZ-017,ELT,Eye-Line Triangle Rule,GAZ-017 / ELT — Eye-Line Triangle Rule,GAZ,Placement / Gaze,Placement and Gaze,Rule / Mode,Explore later,P2,Speculative / direct test needed,"Place overlay within triangle between speaker’s eyes, hands/object, and center.",Reduces gaze travel.,Lower saccade distance and effort.,Needs eye-tracking validation.,Triangle placement vs arbitrary.,Saccade distance; effort,S32; S14,Backlog
H073,GAZ-018,PCR,Platform Crop Repositioning,GAZ-018 / PCR — Platform Crop Repositioning,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot second,P1,Strong practical / direct test needed,"Automatically reposition overlays for TikTok, Reels, Shorts, YouTube preview.",Prevents cross-platform occlusion.,Higher readability after reposting.,Requires platform templates.,Single export vs platform-specific exports.,Occlusion rate; retention by platform,S02; S28,Backlog
H074,GAZ-019,CCD,Caption Collision Detector,GAZ-019 / CCD — Caption Collision Detector,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Pilot first,P0,Strong practical / direct test needed,"Detect overlap with native captions, stickers, captions, and UI.",Prevents clutter stacking.,Higher readability.,False positives could restrict layout.,Manual vs auto collision check.,Collision count; readability,S15; S28,Backlog
H075,GAZ-020,GRW,Gaze Return Windows,GAZ-020 / GRW — Gaze Return Windows,GAZ,Placement / Gaze,Placement and Gaze,Placement Method,Explore later,P2,Moderate adjacent,"After text appears, reserve moments where nothing blocks the face/object.",Lets gaze return to visual information.,Better visual recall.,Muted viewers may need text continuity.,No-return vs return-window design.,Visual recall; gaze dwell,S05; S10; S13,Backlog
H076,KIN-001,LM,Logic Motion,KIN-001 / LM — Logic Motion,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Pilot second,P1,Moderate adjacent,"Animate the relation: problem enters, cause connects, fix resolves.","Motion encodes structure, not decoration.",Better sequence recall.,Over-animation increases load.,Static vs logic motion.,Sequence recall; effort,S19; S09,Backlog
H077,KIN-002,DCM,Directional Causal Motion,KIN-002 / DCM — Directional Causal Motion,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Explore later,P2,Speculative / direct test needed,Move cause toward effect with arrow/line animation.,Spatializes causality.,Better causal understanding.,Can look cheesy or busy.,Text-only vs directional cause animation.,Causal recall; transfer,S19,Backlog
H078,KIN-003,KCF,Kinetic Contrast Flip,KIN-003 / KCF — Kinetic Contrast Flip,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Explore later,P2,Speculative / direct test needed,Visually flip from false belief to correction.,Makes reframe memorable.,Better contrast recall.,May distract from speaker.,Static contrast vs flip animation.,Contrast recall; distraction,S19; S27,Backlog
H079,KIN-004,FDA,Friction Drag Animation,KIN-004 / FDA — Friction Drag Animation,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Explore later,P3,Speculative / direct test needed,Make the word friction move slowly or resist movement.,Embodied metaphor supports concept.,Higher memory for abstract terms.,Metaphor may be too literal.,Static concept vs metaphor motion.,Concept recall; preference,S19,Backlog
H080,KIN-005,SAA,Snap-to-Action Animation,KIN-005 / SAA — Snap-to-Action Animation,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Explore later,P2,Speculative / direct test needed,Action word snaps into place when instruction lands.,Marks action moment.,Better action recall.,Can feel like generic social editing.,Static vs snap action.,Action recall; completion,S19,Backlog
H081,KIN-006,PRL,Progressive Reveal Ladder,KIN-006 / PRL — Progressive Reveal Ladder,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Pilot second,P1,Strong adjacent,Reveal sequence vertically: cue → action → reward.,Segmenting supports working memory.,Better procedural recall.,Too slide-like for entertainment.,All-at-once vs progressive reveal.,Sequence recall; effort,S09; S19,Backlog
H082,KIN-007,MAS,Motion as Syntax,KIN-007 / MAS — Motion as Syntax,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Explore later,P3,Speculative / direct test needed,"Use motion type to encode grammar: contrast slides apart, cause connects.",Creates visual grammar across videos.,Faster recognition after repeated exposure.,Requires audience learning.,Consistent grammar vs random motion.,Role recognition; long-term preference,S19; S27,Backlog
H083,KIN-008,MS,Motion Silence,KIN-008 / MS — Motion Silence,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Pilot second,P1,Moderate adjacent,Keep key ideas static while less important transitions move.,Static becomes signal in a noisy platform.,Better focus on key phrases.,May feel low-energy.,Constant motion vs motion silence.,Recall; perceived quality,S19; S10,Backlog
H084,KIN-009,SMP,Single Micro-Pop,KIN-009 / SMP — Single Micro-Pop,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Pilot second,P1,Moderate adjacent,Only one word pops per beat.,Captures attention without karaoke noise.,Better than every-word popping.,Wrong word pop harms comprehension.,One-pop vs all-word pop.,Keyword recall; effort,S08; S19,Backlog
H085,KIN-010,DKC,De-Karaoke Captions,KIN-010 / DKC — De-Karaoke Captions,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Pilot first,P0,Strong adjacent,Replace active word-by-word highlighting with semantic beats for dense content.,Avoids forced tracking of every word.,Better gist and lower fatigue.,May reduce perceived energy.,Karaoke vs semantic beats.,Gist recall; effort,S06; S24,Backlog
H086,KIN-011,OAC,Object-Attached Captions,KIN-011 / OAC — Object-Attached Captions,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Explore later,P2,Moderate adjacent,Caption moves with object or hand only when labeling it.,Maintains spatial binding.,Better tutorial comprehension.,Motion tracking failure distracts.,Attached label vs static caption.,Task recall; gaze path,S14; S19,Backlog
H087,KIN-012,GST,Gesture-Synced Text,KIN-012 / GST — Gesture-Synced Text,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Pilot second,P1,Moderate adjacent,Reveal instruction exactly when hand gesture demonstrates it.,Aligns temporal/spatial cues.,Better procedural learning.,Mistimed sync harms clarity.,Gesture-sync vs off-sync.,Task accuracy; recall,S09; S29,Backlog
H088,KIN-013,ZBT,Zoom-Blocked Text,KIN-013 / ZBT — Zoom-Blocked Text,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Explore later,P2,Speculative / direct test needed,Suppress text during major zoom/camera movement.,Prevents concurrent motion competition.,Lower visual fatigue.,May leave semantic gaps.,Text during zoom vs delayed text.,Effort; visual recall,S19; S15,Backlog
H089,KIN-014,IFC,Impact Freeze Caption,KIN-014 / IFC — Impact Freeze Caption,KIN,Motion / Kinetic,Motion and Kinetic Text,Motion Method,Explore later,P2,Speculative / direct test needed,Briefly freeze/slow frame for a complex takeaway.,Gives time to encode dense idea.,Higher recall for complex points.,Can reduce pacing/retention.,Normal speed vs freeze caption.,Recall; completion,S03; S09,Backlog
H090,KIN-015,MBS,Motion Budget Score,KIN-015 / MBS — Motion Budget Score,KIN,Motion / Kinetic,Motion and Kinetic Text,Rule / Mode,Pilot second,P1,Moderate adjacent,Limit animated overlay events per 10 seconds.,Keeps motion rare and meaningful.,"Lower fatigue, higher clarity.",Too low may feel flat on platforms.,Low/medium/high motion dose.,Effort; completion; recall,S19; S26,Backlog
H091,VLD-001,VLAW,Visual-Load Adaptive Word Count,VLD-001 / VLAW — Visual-Load Adaptive Word Count,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot first,P0,Strong adjacent,Use fewer overlay words when the frame is visually busy.,Balances visual-channel load.,Better comprehension in demos and complex scenes.,Can under-explain muted clips.,Fixed vs adaptive density.,Gist; visual recall; effort,S10; S15; S17,Backlog
H092,VLD-002,DML,Demo Minimal Labels,VLD-002 / DML — Demo Minimal Labels,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot second,P1,Moderate adjacent,"During demonstrations, show only verbs or labels: twist, lock, pull.",Preserves action visibility.,Better procedural recall.,Too sparse for novices.,Sentence captions vs labels in demo.,Task recall; completion,S10; S15,Backlog
H093,VLD-003,BBAP,Busy Background Auto-Plate,VLD-003 / BBAP — Busy Background Auto-Plate,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot second,P1,Strong adjacent,Add a soft plate behind text only when background is complex.,Improves readability with minimal obstruction.,Fewer missed captions.,Plate may cover important visuals.,Auto plate vs always/never plate.,Readability; aesthetic rating,S15; S28,Backlog
H094,VLD-004,BDW,Background Dimming Window,VLD-004 / BDW — Background Dimming Window,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Explore later,P2,Moderate adjacent,Temporarily dim non-essential background behind text.,Reduces crowding and contrast problems.,Better text recognition.,May feel intrusive.,Dimming vs none.,Readability; immersion,S15; S28,Backlog
H095,VLD-005,VCS,Visual Complexity Score,VLD-005 / VCS — Visual Complexity Score,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot second,P1,Speculative / direct test needed,Compute frame-level complexity and use it to regulate overlay density.,Makes density adaptive and testable.,Better across mixed footage.,Complexity metric may not match human load.,Manual vs automated complexity rules.,Prediction accuracy; recall,S12; S15,Backlog
H096,VLD-006,CCD2,Caption Conflict Detector,VLD-006 / CCD2 — Caption Conflict Detector,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot first,P0,Strong practical / direct test needed,Detect when too many text layers exist simultaneously.,Prevents split attention and crowding.,Higher clarity.,May suppress useful labels.,Conflict detector on/off.,Text count; effort; recall,S10; S15,Backlog
H097,VLD-007,HMS,High-Motion Suppression,VLD-007 / HMS — High-Motion Suppression,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot second,P1,Moderate adjacent,Reduce caption animation and density during high visual motion.,Prevents competing motion streams.,Better visual recall.,Could miss key speech during action.,Motion-adaptive vs fixed overlay.,Visual recall; comprehension,S19; S15,Backlog
H098,VLD-008,STB,Simultaneous Text Budget,VLD-008 / STB — Simultaneous Text Budget,VLD,Visual Load / Clutter,Visual Load and Clutter,Rule / Mode,Pilot first,P0,Strong adjacent,Limit screen to one primary text block plus one micro-label.,Keeps working memory manageable.,Lower effort.,May constrain complex explanations.,Budgeted vs unbudgeted overlays.,Effort; recall,S10; S17,Backlog
H099,VLD-009,NCCC,Native Caption Conflict Checker,VLD-009 / NCCC — Native Caption Conflict Checker,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot first,P0,Strong practical / direct test needed,Avoid overlay collisions with platform auto-captions or imported captions.,Separates full caption layer and semantic layer.,Improves access and readability.,Platforms may render differently.,With/without conflict checking.,Occlusion; user complaints,S01; S02; S15,Backlog
H100,VLD-010,BPD,Background Pattern Detector,VLD-010 / BPD — Background Pattern Detector,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Explore later,P2,Moderate adjacent,"Flag stripes, grids, leaves, and high-frequency textures behind text.",Crowding and contrast risk is high on patterned backgrounds.,Better readability after repositioning.,Detector may overflag.,Pattern-aware vs fixed placement.,Readability; failure rate,S15; S28,Backlog
H101,VLD-011,FLCC,Frame-Level Contrast Correction,VLD-011 / FLCC — Frame-Level Contrast Correction,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot first,P0,Strong adjacent,Auto adjust text/backplate contrast per frame.,Keeps readability stable across video.,Fewer unreadable moments.,Style may shift too much.,Static style vs auto-correct.,WCAG ratio; readability,S28,Backlog
H102,VLD-012,TDB,Text Dwell Budget,VLD-012 / TDB — Text Dwell Budget,VLD,Visual Load / Clutter,Visual Load and Clutter,Rule / Mode,Pilot second,P1,Speculative / direct test needed,Limit total seconds of on-screen text per 10 seconds of video.,Prevents turning video into reading task.,Better visual recall and lower fatigue.,Muted viewers may need more text.,Low/medium/high dwell budgets.,Visual recall; effort; muted comprehension,S05; S10; S26,Backlog
H103,VLD-013,DVG,Density by Viewer Goal,VLD-013 / DVG — Density by Viewer Goal,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Explore later,P2,Speculative / direct test needed,"Use heavier overlays for learning clips, lighter for entertainment clips.",Matches intrinsic task demands.,Better category-specific performance.,Incorrect classification hurts.,Category-specific vs universal density.,Recall; retention by category,S10; S25,Backlog
H104,VLD-014,CSEF,Caption Safe Empty Frames,VLD-014 / CSEF — Caption Safe Empty Frames,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Explore later,P2,Speculative / direct test needed,Intentionally reserve clean frames for text instead of adding text anywhere.,Production-level planning reduces clutter.,Better quality and readability.,Requires script/edit planning.,Planned empty frames vs reactive overlays.,Readability; production time,S15; S28,Backlog
H105,VLD-015,RFL,Readability Failure Log,VLD-015 / RFL — Readability Failure Log,VLD,Visual Load / Clutter,Visual Load and Clutter,Load-Control Method,Pilot second,P1,Strong practical / direct test needed,Annotate every point where a tester missed or struggled with text.,Creates iterative quality loop.,Fewer recurring failures.,Manual work needed.,No log vs failure-log revision.,Revision improvement rate,S28; S30,Backlog
H106,AUD-001,AUD,Audio-On Cue Mode,AUD-001 / AUD — Audio-On Cue Mode,AUD,Sound / Multimodal,Sound and Multimodal,Rule / Mode,Pilot second,P1,Strong adjacent,"When audio is expected, overlay only cues and structure, not full language.",Avoids redundancy overload.,Better visual recall with similar gist.,Fails if viewer is muted.,Audio-on cue vs full overlay.,Visual recall; gist,S05; S10,Backlog
H107,AUD-002,MFM,Muted-First Mode,AUD-002 / MFM — Muted-First Mode,AUD,Sound / Multimodal,Sound and Multimodal,Rule / Mode,Pilot first,P0,Strong adjacent,Overlay carries enough meaning without sound.,Supports sound-off viewing.,Better muted comprehension.,May be too much text for audio-on viewers.,Muted-first vs cue-mode.,Muted gist; effort,S05; S01,Backlog
H108,AUD-003,DLC,Dual-Layer Captioning,AUD-003 / DLC — Dual-Layer Captioning,AUD,Sound / Multimodal,Sound and Multimodal,Multimodal Method,Pilot first,P0,Strong adjacent,Full closed captions plus separate semantic overlay.,Preserves accessibility while enabling retention design.,Best overall access + gist.,Can create clutter if poorly placed.,Closed captions only vs dual-layer.,Access rating; gist; clutter,S01; S02; S05,Backlog
H109,AUD-004,NSS,Non-Speech Sound Cues,AUD-004 / NSS — Non-Speech Sound Cues,AUD,Sound / Multimodal,Sound and Multimodal,Multimodal Method,Pilot first,P0,Strong requirement,"Show [laughter], [music rises], [door slam] only when meaningful.",Captions include meaningful audio context.,Better DHH access and story context.,Too many cues distract.,With/without sound cues.,Comprehension; access rating,S01; S03,Backlog
H110,AUD-005,PAE,Prosody-Aware Emphasis,AUD-005 / PAE — Prosody-Aware Emphasis,AUD,Sound / Multimodal,Sound and Multimodal,Multimodal Method,Explore later,P2,Moderate adjacent,Map speaker emphasis/intensity to controlled text weight or motion.,Captures tone without excessive animation.,Better emotion/tone recognition.,Over-styling reduces clarity.,Prosody-aware vs uniform captions.,Tone recognition; effort,S20; S34,Backlog
H111,AUD-006,SAE,Silence as Emphasis,AUD-006 / SAE — Silence as Emphasis,AUD,Sound / Multimodal,Sound and Multimodal,Multimodal Method,Explore later,P2,Speculative / direct test needed,"Use no overlay during silence or facial reaction, then land a short caption.",Protects emotional beats.,Better engagement and affect recognition.,Muted viewers may need context.,Continuous caption vs silence+payoff.,Engagement; tone recall,S20; S32,Backlog
H112,AUD-007,ACT,Audio Clarity Trigger,AUD-007 / ACT — Audio Clarity Trigger,AUD,Sound / Multimodal,Sound and Multimodal,Multimodal Method,Pilot second,P1,Moderate adjacent,"If background music/noise is high, increase caption completeness.",Compensates when speech is hard to hear.,Better comprehension in noisy clips.,May overload visuals unnecessarily.,Clean vs noisy audio variants.,Comprehension; effort,S05; S18,Backlog
H113,AUD-008,RRC,Rhythm-Respecting Captions,AUD-008 / RRC — Rhythm-Respecting Captions,AUD,Sound / Multimodal,Sound and Multimodal,Multimodal Method,Explore later,P2,Speculative / direct test needed,Avoid text changes on every music beat unless text is music/lyric content.,Prevents text from becoming percussion.,Lower fatigue in non-music clips.,May reduce platform-native energy.,Beat-synced vs semantic-synced.,Effort; recall,S19,Backlog
H114,AUD-009,TI,Tone Icons,AUD-009 / TI — Tone Icons,AUD,Sound / Multimodal,Sound and Multimodal,Multimodal Method,Explore later,P3,Speculative / direct test needed,"Use small icons for sarcasm, warning, encouragement only when tone is ambiguous.",Adds affective context without long text.,Better tone interpretation.,Icons can trivialize serious content.,Tone icon vs none.,Tone accuracy; preference,S20; S34,Backlog
H115,AUD-010,HCV,Haptic Caption Variant,AUD-010 / HCV — Haptic Caption Variant,AUD,Sound / Multimodal,Sound and Multimodal,Multimodal Method,Explore later,P3,Speculative / cutting-edge,"For AR/wearables, use vibration patterns for emotion or emphasis.",Multimodal cueing for accessibility.,Better affective access in DHH contexts.,Not relevant to normal TikTok yet.,Lab prototype with haptic cues.,Tone recognition; workload,S34; S33,Backlog
H116,MEM-001,RPC,Retrieval Prompt Caption,MEM-001 / RPC — Retrieval Prompt Caption,MEM,Memory / Learning,Memory and Learning,Learning Method,Pilot second,P1,Strong adjacent,Ask a 1-question recall prompt at the end: What reduces friction?,Retrieval strengthens memory and reveals comprehension.,Higher delayed recall.,Prompts may reduce entertainment value.,Prompt vs no prompt.,Delayed recall; saves,S09; S17,Backlog
